premises,hypothesis,labels,Lexical Semantics,Logic,Domain, Lexical Semantics,Type,Knowledge,Predicate-Argument Structure,Key Elements,Premise Polarity,Hypothesis Certainty,Verb Category,Inference derivation,Common-Sense Type 1,Common-Sense Type 2
Jim speaks German.,Jim speaks a Romance language.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Jim speaks English.,Jim speaks a Romance language.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
A dishwasher is located outside the house.,An home appliance is located outside the house.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
You can connect your washing machine to your Wi-Fi.,You can connect your home appliance to your Wi-Fi.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Toby is loading the washing machine.,Toby is loading the home appliance.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Toby is loading the washing machine.,Toby is loading the dishwasher.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
"In 1933, we presented our first dishwasher in Germany.","In 1933, we presented our first home appliance in Germany.",neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
The mountain is also accessible by mountain bike.,The mountain is also accessible by bike.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Bill just designed a new racing bike.,Bill just designed a new bike.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Mike is riding a racing bike.,Mike is riding a bike.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Mike is riding a mountain bike.,Mike is riding a bike.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Mike is riding a racing bike.,Mike is riding a mountain bike.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
That company only produces racing bikes.,That company only produces bikes.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
That company only produces mountain bikes.,That company only produces bikes.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
That company only produces mountain bikes.,That company only produces racing bikes.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Tom rides racing bikes.,Tom rides mountain bikes.,neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
I was given a necklace.,I was given a jewel.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
I have seen that ring before.,I have seen that jewel before.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Emily is wearing a beautiful ring.,Emily is wearing a beautiful jewel.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Emily is wearing a beautiful necklace.,Emily is wearing a beautiful jewel.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Emily is wearing a beautiful ring.,Emily is wearing a beautiful necklace.,neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
The brooch depicts a daisy with double golden petals.,The brooch depicts a flower with double golden petals.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Lucy added a tulip each time she killed.,Lucy added a flower each time she killed.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Margaret is watering the tulips.,Margaret is watering the flowers.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Margaret is pruning the roses.,Margaret is pruning the flowers.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Elizabeth is planting a rose.,Elizabeth is planting a tulip.,contradiction,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Jim bought a rose for his girlfriend.,Jim bought a tulip for his girlfriend.,neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Mary ate smoked salmon last night.,Mary ate smoked fish last night.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
I would be happy if the sea were full of water melon juice.,I would be unhappy if the sea were full of fruit juice.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Scotland Yard acts quickly to gather evidence.,The police acts quickly to gather evidence.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
The illustration is intelligently composed.,The artwork is intelligently composed.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
The paintings in the office are all by a local artist.,The artworks in the office are all by a local artist.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Max is trying to buy next-generation guns.,Max is trying to buy next-generation weapons.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
It is unfair to use a knife against an unarmed opponent.,It is unfair to use a weapon against an unarmed opponent.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
These old lofts possess a timeless beauty.,These old rooms possess a timeless beauty.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
We have a basement where we store all the things that we rarely use.,We have a room where we store all the things that we rarely use.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Ted cut down an apple tree.,Ted cut down a tree.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Bob loves spaghetti.,Bob loves pasta.,neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Donna loves cheddar.,Donna loves cheese.,neutral,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark treats his sisters equally.,Mark treats his siblings equally.,entailment,,,,Lexical Entailment,Hyponymy,,,,,,,,,
Some parrots talk.,Some birds talk.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some bikinis just shouldn’t be worn by old people.,Some bathing suits just shouldn’t be worn by old people.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"Now, in some bakeshops, even check-out is self-service.","Now, in some stores, even check-out is self-service.",entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I go to the kitchen to prepare some banana fritters for Sophia.,I go to the kitchen to prepare some friedcakes for Sophia.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some swallows flew down and tried to carry the cherries away.,Some birds flew down and tried to carry the cherries away.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
One day some men were sitting by the door of a hotel in Baltimore.,One day some people were sitting by the door of a hotel in Baltimore.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some salmons go up the river.,Some fishes go up the river.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are some sandwiches in the fridge.,There are some snacks in the fridge.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some roses were still blooming.,Some flowers were still blooming.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I was talking to some journalist the other day.,I was talking to some people the other day.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some puppies are very cute.,Some dogs are very cute.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some schoolbags are more capacious than others.,Some bags are more capacious than others.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
At night you can face a difficult choice from the many bistros.,At night you can face a difficult choice from many restaurants.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
He gave him many beautiful presents.,He gave him many beautiful gifts.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
He had many domestics to wait upon him.,He had many servants to wait upon him.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I have many fairy tales to send her.,I have many stories to send her.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Many anglers are against this because their livelihood depends on it.,Many fishermen are against this because their livelihood depends on it.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
It looks like a leprechaun ate too many marshmallows.,It looks like a leprechaun ate too many candies.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Having many cats is never easy.,Having many animals is never easy.,neutral,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark and Mary have visited many cities on their honeymoon.,Mark and Mary have visited many places on their honeymoon.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Donna has many cousins.,Donna has many relatives.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Take as many blackberries as you like.,Take as many fruits as you like.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are many leeches in my farm.,There are many worms in my farm.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
He completed many dangerous air attacks.,He completed many dangerous raids.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The woman pushed her cart towards a store shop window.,The woman pushed her cart towards a store shop window.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
A beautiful landscape shows several traditional thatched huts.,A beautiful landscape shows several traditional thatched shelters.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The collection was later dispersed among several Russian bookshops.,The collection was later dispersed among several Russian shops.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Shadow Walker was also the mastermind of several e-crimes.,Shadow Walker was also the mastermind of several crimes.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are several memorials built inside the fort area.,There are several structures built inside the fort area.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"Nevertheless, several solar telescopes remained in operation until the 1990s.","Nevertheless, several telescopes remained in operation until the 1990s.",entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The doctor mentions several fractured ribs.,The doctor mentions several fractured bones.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I won several tournaments.,I won several competitions.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
She wrote several songs in French.,She wrote several musical compositions in French.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Tom and Mary plan to attend several Halloween parties.,Tom and Mary plan to attend several parties.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
This important discovery was made by several biologists who worked together.,This important discovery was made by several scientists who worked together.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"This operation is very complex, in fact several neurosurgeons are performing it.","This operation is very complex, in fact several surgeons are performing it.",entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
They ate a few teacakes with their tea.,They ate a few biscuits with their tea.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Few roses were still blooming.,Few flowers were still blooming.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Few women have led troops in battle.,Few people have led troops in battle.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
They have a few more bandwagons than usual.,They have a few more wagons than usual.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Very few mammals can imitate human sounds.,Very few animals can imitate human sounds.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The few paratroopers I had left deserted.,The few soldiers I had left deserted.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The vaccine could save a few million children.,The vaccine could save a few million people.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
A few gold miners are working on extracting ore from the earth.,A few miners are working on extracting ore from the earth.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The motorcycle rider jumps a few limousines.,The motorcycle rider jumps a few cars.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Some Asian men were killed last night.,Some men were killed last night.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
An airplane is parked in front of a few scooters.,An airplane is parked in front of a few vehicles.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
An airplane is parked in front of a few wheeled vehicles.,An airplane is parked in front of a few vehicles.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
An airplane is parked in front of a few scooters.,An airplane is parked in front of a few wheeled vehicles.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I have won various matches.,I have won various competitions.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
In this city there are various computer companies.,In this city there are various companies.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The doctor uses various medical instrument every day.,The doctor uses various instrument every day.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
In this city there are various educational institutes.,In this city there are various institutes.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There seems to be very little communication between the various departments.,There seems to be very little communication between the various administrative districts.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The masks were previously used in various ceremonies.,The masks were previously used in various occasions.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark occasionally collaborated with Jim on various musical instruments.,Mark occasionally collaborated with Jim on various instruments.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
These include some rare works and various antologies.,These include some rare works and various collections.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
This project involves volunteers in various medical conferences.,This project involves volunteers in various conferences.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Arthur's disappearance gave rise to various folktales.,Arthur's disappearance gave rise to various stories.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I liked to spend my time at the airport watching the various airships take off and land.,I liked to spend my time at the airport watching the various aircrafts take off and land.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark wrote various ballads in French.,Mark wrote various songs in French.,entailment,,Upward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Check-out is self-service in every bakeshop.,Check-out is self-service in every store.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Check-out is self-service in all bakeshops.,Check-out is self-service in all stores.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Check-out is self-service in no bakeshop.,Check-out is self-service in no store.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each swallow carried the cherries away.,Each bird flew down and tried to carry the cherries away.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All the swallows flew down and tried to carry the cherries away.,All the birds flew down and tried to carry the cherries away.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No swallow flew down and tried to carry the cherries away.,No bird flew down and tried to carry the cherries away.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All the salmons go up the river.,All the fishes go up the river.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every salmon goes up the river.,Every fish goes up the river.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No salmon goes up the river.,No fish goes up the river.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All the sandwiches are in the fridge.,All the snacks are in the fridge.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each sandwich is in the fridge.,Each snack is in the fridge.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No sandwich is in the fridge.,No snack is in the fridge.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All the roses were blooming.,All the flowers were blooming.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every rose was blooming.,Every flower was blooming.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No rose was blooming.,No flower was blooming.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All puppies are cute.,All dogs are cute.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each puppy is cute.,Each dog is cute.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No puppy is cute.,No dog is cute.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All mammals can imitate human sounds.,All the animals can imitate human sounds.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every mammal can imitate human sounds.,Every animal can imitate human sounds.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No mammal can imitate human sounds.,No mammal can imitate human sounds.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark wrote each of his ballads in French.,Mark wrote each of his songs in French.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark wrote none of his ballads in French.,Mark wrote none of his songs in French.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Mark wrote all his ballads in French.,Mark wrote all his songs in French.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All bees collect pollen.,All insects collect pollen.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every bee collects pollen.,Every insect collects pollen.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No bee collects pollen.,No bee collects pollen.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Jack completed each air attack.,Jack completed each raid.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Jack completed all air attacks.,Jack completed all raids.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Jack did not complete any air attacks.,Jack did not complete any raids.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I gave every oleander some water.,I gave every plant some water.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every single folk dancer is frowning.,Every single dancer is frowning.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The woman does yoga on the beach every Friday.,The woman does yoga on the beach everyday.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every Chinese comes from Asia.,Every person comes from Asia.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I am sick of having to hand-hold every new secretary we hire.,I am sick of having to hand-hold every new person we hire.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I keep an answer key to every midterm exam locked inside this office.,I keep an answer key to every exam locked inside this office.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Tom's got us searching under every rock in Mohave desert.,Tom's got us searching under every rock.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Our chef offers themed coffee breaks and creative menus suited to every party.,Our chef offers themed coffee breaks and creative menus suited to every event,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I walked fast to avoid being overtaken but every crossroad was a danger.,I walked fast to avoid being overtaken but every place was a danger.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every bassist from Seattle has recorded here.,Every musician from Seattle has recorded here.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every sparrow will die before Bill walks down that street.,Every bird will die before Bill walks down that street.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
An act of the Scottish parliament in 1696 underlined the aim of having a school in every parish.,An act of the Scottish parliament in 1696 underlined the aim of having a school in every jurisdiction .,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Every penguin is monogamous.,Every bird is monogamous.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
We gave them every t-shirt.,We gave them every clothing.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each brother is treated equally by Mark.,Each sibling is treated equally by Mark.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each sister is treated equally by Mark.,Each sibling is treated equally by Mark.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each thief is sentenced to prison.,Each criminal is sentenced to prison.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each laptop is equipped with a touchpad.,Each computer is equipped with a touchpad.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each orange has a peel.,Each citrus has a peel.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each dog knew its master and its call.,Each animal knew its master and its call.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each chemist see things differently.,Each scientist see things differently.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There is a telephone in each bathroom.,There is a telephone in each room.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each friendship is temporary.,Each relationship is temporary.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each person has a short life.,Each living being has a short life.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The police checked each jeep in the parking lot.,The police checked each car in the parking lot.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
In the new Turkish alphabet each phoneme is represented by a single letter.,In the new Turkish alphabet each sound is represented by a single letter.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"For the school science project, each collegian will blow up a balloon and then tie it closed.","For the school science project, each student will blow up a balloon and then tie it closed.",neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Each school text was written with a pen or a brush.,Each book was written with a pen or a brush.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"If you take the forty richest countries, each musician earns on average around $33,000.","If you take the forty richest countries, each person earns on average around $33,000.",neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"The door to the kidding stalls was open and she stepped through, moving swiftly as she checked each stall.","The door to the kidding stalls was open and she stepped through, moving swiftly as she checked each compartment.",neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"In the center of each poisonous plant grew a daintily dressed Mangaboo, for the clothing of all these creatures grew upon them and was attached to their bodies.","In the center of each plant grew a daintily dressed Mangaboo, for the clothing of all these creatures grew upon them and was attached to their bodies.",neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Do not leave without checking each car door to make sure it is locked.,Do not leave without checking each door to make sure it is locked.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All wives must be respected.,All women must be respected.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All strawberries have seeds.,All soft fruits have seeds.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All hens don't fly.,All birds don't fly.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All parrots talk.,All birds talk.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All smartphones allow you to connect to the internet.,All phones allow you to connect to the internet.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All hospitals are made out of concrete.,All structures are made out of concrete.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All dormitories are made out of concrete.,All buldings are made out of concrete.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All bedrooms are without furniture.,All rooms are without furniture.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
It is necessary for all runners to wear a dress code.,It is necessary for all athletes to wear a dress code.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All smartphones were sold in less than an hour.,All phones were sold in less than an hour.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All iPhones were sold in less than an hour.,All smartphones were sold in less than an hour.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All women after this will seem different. ,All people after this will seem different. ,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Supplies like diapers are readily available at all supermarkets of the city.,Supplies like diapers are readily available at all markets of the city.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All employees must return to their workstations.,All workers must return to their workstations.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All barmans must return to their workstations.,All employees must return to their workstations.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
Let's give a round of applause for all the winners.,Let's give a round of applause for all the contestants.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
We're going to trace all the local calls that come in.,We're going to trace all the calls that come in.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
"I really wanted a clear photo of the president, but all the photojournalists were in the way.","I really wanted a clear photo of the president, but all the journalists were in the way.",neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
All our delivery vans are useful.,All our delivery vehicles are useful.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No kitchen is without a fridge.,No room is without fridge.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No hospital is made out of asbestos.,No building is made out of asbestos.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No dictator must be respected.,No man must be respected.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No strawberry has seeds.,No soft fruit has seeds.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No hen flies.,No bird flies.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No crow talks.,No bird talks.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are no carp in the lake.,There are no freshwater fishes in the lake.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are no carp in the lake.,There are no fishes in the lake.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
The men wear no skirts.,The men wear no clothes.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No animal should ever suffer any unnecessary pain.,No living being should ever suffer any unnecessary pain.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No worker participated in the revolt,No person participated in the revolt.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There aren't any songbooks on the desk.,There aren't any books on the desk.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No baker participated in the strike.,No worker participated in the strike.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
They have no guns to hurt us with.,They have no weapons to hurt us with.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There are no tarantulas in South Africa.,There are no spiders in South Africa.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There is no existing car that doesn't require constant maintenance.,There is no existing motor vehicle that doesn't require constant maintenance.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
And no kid should ever suffer any unnecessary pain.,And no person should ever suffer any unnecessary pain.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I'm not going to drink any alcohol.,I'm not going to drink any beverages.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I will not use any explosive devices without the permission of the captain.,I will not use any devices without the permission of the captain.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No good father would subject their children to such punishment.,No parent in their right mind would subject their children to such punishment.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
We're not going to any musicals at all.,We're not going to any shows at all.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
I do not sense any bats in this settlement.,I do not sense any animals in this settlement.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
No delivery van is useless.,No delivery vehicle is useless.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
There aren't any songbooks on the desk.,There aren't any books on the desk.,neutral,,Downward monotone,,Lexical Entailment,Hyponymy,,,,,,,,,
